CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
810347208,Existing Customer,51,M,4,Unknown,Married,$120K +,Gold,46,6,1,3,34516,2264,32252,198%,1330,31,72%,7%
708790833,Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue,31,5,3,2,6748,1467,5281,83%,1201,42,68%,22%
712813458,Existing Customer,49,M,2,Unknown,Married,$120K +,Blue,36,4,2,0,19763,2517,17246,66%,1414,35,25%,13%
714374133,Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,36,1,3,3,15769,0,15769,104%,602,15,36%,0%
710082708,Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue,32,2,4,2,23957,2102,21855,100%,1276,26,73%,9%
708155733,Existing Customer,53,M,2,High School,Single,$120K +,Blue,44,4,2,2,14734,1634,13100,99%,1289,23,92%,11%
715971108,Existing Customer,51,M,4,Graduate,Single,$120K +,Blue,42,3,2,3,34516,1763,32753,127%,1550,41,105%,5%
715156383,Existing Customer,44,M,1,Unknown,Unknown,$120K +,Blue,36,6,2,2,34516,1533,32983,92%,1603,29,53%,4%
715398033,Existing Customer,53,M,2,High School,Single,$120K +,Blue,35,4,2,1,19040,2056,16984,61%,1212,31,72%,11%
778992108,Existing Customer,57,M,2,Unknown,Married,$120K +,Blue,45,5,3,3,5266,0,5266,170%,1516,29,164%,0%
802013583,Existing Customer,56,M,3,College,Married,$120K +,Blue,50,3,2,0,9689,2250,7439,58%,1158,19,73%,23%
779155158,Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,34,6,2,2,2940,1264,1676,56%,1259,33,50%,43%
779509983,Existing Customer,53,M,2,Post-Graduate,Single,$120K +,Blue,36,6,1,2,34516,931,33585,83%,1022,21,110%,3%
708476808,Existing Customer,54,M,4,Unknown,Divorced,$120K +,Blue,36,6,3,2,33791,1960,31831,62%,1047,31,82%,6%
718414008,Existing Customer,50,M,2,Graduate,Single,$120K +,Blue,36,3,2,2,34516,1023,33493,100%,1064,13,63%,3%
771075258,Existing Customer,55,M,2,College,Single,$120K +,Silver,42,2,3,2,34516,1527,32989,53%,1268,42,36%,4%
783554958,Existing Customer,58,M,4,Graduate,Single,$120K +,Blue,52,6,1,0,32090,0,32090,57%,1368,30,36%,0%
789968058,Existing Customer,51,M,1,Unknown,Single,$120K +,Blue,42,6,2,3,9036,2327,6709,65%,1131,18,64%,26%
818839983,Existing Customer,55,M,2,Graduate,Married,$120K +,Blue,50,3,2,0,10916,1536,9380,132%,1592,34,100%,14%
712454058,Existing Customer,49,M,1,Doctorate,Married,$120K +,Blue,38,6,1,3,9364,618,8746,55%,1099,27,80%,7%
780466533,Existing Customer,54,M,3,Doctorate,Married,$120K +,Blue,41,3,3,0,21592,1676,19916,110%,1873,52,53%,8%
715872333,Existing Customer,41,M,0,High School,Unknown,$120K +,Blue,36,3,2,3,18214,1998,16216,83%,1344,21,110%,11%
820596183,Existing Customer,58,M,2,College,Married,$120K +,Blue,53,2,3,0,24407,2395,22012,107%,2311,48,71%,10%
805543158,Existing Customer,52,M,3,Graduate,Married,$120K +,Blue,47,5,3,3,11086,2207,8879,87%,1523,40,111%,20%
758348808,Existing Customer,51,M,2,Graduate,Married,$120K +,Blue,44,4,3,3,34516,1666,32850,61%,1218,18,80%,5%
717906783,Existing Customer,41,M,5,Graduate,Single,$120K +,Blue,29,5,2,2,5207,1748,3459,107%,1310,26,100%,34%
712125258,Attrited Customer,46,M,4,High School,Married,$120K +,Blue,30,3,3,3,2442,0,2442,98%,701,19,73%,0%
710103558,Existing Customer,50,M,3,Post-Graduate,Single,$120K +,Blue,31,4,1,2,3234,1486,1748,87%,1354,28,65%,46%
799471833,Existing Customer,45,M,1,Uneducated,Single,$120K +,Blue,39,4,2,2,3133,1510,1623,61%,1435,38,46%,48%
720272958,Attrited Customer,48,M,2,High School,Married,$120K +,Blue,36,3,3,3,27126,0,27126,95%,1000,25,79%,0%
819700533,Existing Customer,50,M,0,High School,Single,$120K +,Silver,45,5,2,3,14938,2303,12635,80%,949,27,200%,15%
721509558,Existing Customer,51,M,2,Graduate,Married,$120K +,Blue,42,3,3,0,24221,1707,22514,82%,1678,40,54%,7%
721425558,Existing Customer,52,M,2,Graduate,Single,$120K +,Blue,37,2,3,2,14543,0,14543,79%,1536,37,42%,0%
708330858,Attrited Customer,57,M,3,Graduate,Married,$120K +,Blue,38,2,3,3,8249,1381,6868,80%,678,11,83%,17%
720779733,Existing Customer,56,M,1,Uneducated,Married,$120K +,Blue,36,3,2,2,6041,1355,4686,69%,1747,49,58%,22%
718505958,Existing Customer,43,M,5,Graduate,Divorced,$120K +,Silver,31,5,3,3,34516,1699,32817,77%,1628,38,73%,5%
715024233,Existing Customer,53,M,1,High School,Married,$120K +,Blue,36,6,3,2,3312,1844,1468,99%,1740,32,88%,56%
716984658,Existing Customer,49,M,1,Graduate,Married,$120K +,Blue,39,3,2,3,34516,0,34516,51%,1106,31,94%,0%
807030858,Existing Customer,51,M,4,High School,Single,$120K +,Blue,46,6,3,3,34516,2274,32242,79%,1795,47,68%,7%
828281733,Existing Customer,43,M,4,Unknown,Married,$120K +,Blue,39,3,3,3,14881,848,14033,76%,1408,23,109%,6%
713441958,Existing Customer,46,M,2,High School,Married,$120K +,Blue,36,5,3,2,19727,1785,17942,57%,1245,25,79%,9%
712595433,Existing Customer,58,M,2,Uneducated,Unknown,$120K +,Blue,49,6,2,3,9788,1794,7994,78%,1805,37,76%,18%
804359133,Existing Customer,55,M,0,High School,Married,$120K +,Blue,49,5,3,3,3805,2233,1572,110%,1743,27,93%,59%
717354558,Attrited Customer,57,M,2,Uneducated,Married,$120K +,Blue,40,3,3,3,3106,1120,1986,105%,683,17,70%,36%
712372158,Existing Customer,45,M,4,Unknown,Married,$120K +,Blue,33,6,1,3,34516,2086,32430,99%,1859,47,96%,6%
715192308,Existing Customer,48,M,2,High School,Married,$120K +,Blue,36,6,5,2,29963,2094,27869,65%,1205,28,87%,7%
709470858,Existing Customer,51,M,4,College,Married,$120K +,Silver,31,5,2,1,34516,1254,33262,87%,1366,25,79%,4%
713134458,Existing Customer,54,M,3,High School,Married,$120K +,Blue,43,4,1,1,13219,0,13219,58%,1097,24,50%,0%
716804283,Existing Customer,41,M,2,Uneducated,Divorced,$120K +,Blue,29,3,2,2,15911,896,15015,95%,1270,33,83%,6%
767294658,Attrited Customer,56,M,2,College,Single,$120K +,Blue,50,2,2,3,16867,0,16867,89%,654,14,40%,0%
708095133,Existing Customer,43,M,4,Unknown,Unknown,$120K +,Blue,34,5,2,2,33304,1833,31471,43%,1448,29,38%,6%
819352983,Existing Customer,49,M,3,Unknown,Unknown,$120K +,Blue,44,5,2,2,21620,2008,19612,69%,1300,33,50%,9%
719443683,Attrited Customer,50,M,1,Unknown,Single,$120K +,Blue,39,3,2,3,27512,2137,25375,105%,1149,25,56%,8%
721183983,Existing Customer,48,M,4,High School,Married,$120K +,Blue,31,6,3,1,34516,1013,33503,58%,1222,37,85%,3%
719366358,Existing Customer,51,M,3,High School,Married,$120K +,Blue,40,6,3,2,7319,1692,5627,70%,1233,29,61%,23%
772264383,Existing Customer,44,M,2,Graduate,Single,$120K +,Blue,33,4,1,3,13301,0,13301,106%,1385,50,52%,0%
787623858,Existing Customer,43,M,2,Uneducated,Divorced,$120K +,Silver,24,4,2,0,34516,1938,32578,43%,1215,45,41%,6%
709040508,Existing Customer,57,M,4,Uneducated,Married,$120K +,Blue,38,6,6,2,19802,1961,17841,113%,2244,58,71%,10%
715383108,Existing Customer,52,M,2,Graduate,Single,$120K +,Blue,44,5,1,1,34516,2174,32342,43%,1616,50,52%,6%
710784333,Existing Customer,57,M,2,Unknown,Married,$120K +,Blue,36,3,2,2,23700,1314,22386,149%,1644,28,65%,6%
779713608,Existing Customer,52,M,2,High School,Married,$120K +,Blue,36,5,1,2,2981,1358,1623,124%,1648,30,150%,46%
783561558,Existing Customer,57,M,4,Post-Graduate,Married,$120K +,Blue,51,4,2,3,16952,0,16952,71%,1918,61,65%,0%
712797258,Existing Customer,43,M,3,Graduate,Married,$120K +,Blue,33,3,1,3,34516,2129,32387,59%,1463,38,58%,6%
827108583,Existing Customer,55,M,3,High School,Single,$120K +,Blue,51,3,1,3,34516,1266,33250,85%,1161,26,37%,4%
720310458,Existing Customer,46,M,1,Unknown,Single,$120K +,Blue,32,5,2,1,11840,1295,10545,84%,1560,49,40%,11%
718344033,Existing Customer,47,M,2,College,Married,$120K +,Blue,35,4,3,2,3636,1010,2626,60%,1564,59,69%,28%
717418158,Existing Customer,42,M,5,Unknown,Unknown,$120K +,Blue,36,4,1,2,34516,1839,32677,69%,1230,34,89%,5%
719459358,Existing Customer,52,M,1,Doctorate,Married,$120K +,Blue,41,4,2,2,33864,989,32875,122%,1751,48,92%,3%
799000008,Existing Customer,57,M,2,Post-Graduate,Divorced,$120K +,Blue,51,4,1,1,26437,1472,24965,74%,1244,36,50%,6%
717090183,Existing Customer,60,M,1,Doctorate,Married,$120K +,Blue,50,6,1,2,21697,2144,19553,65%,2117,48,66%,10%
710722908,Existing Customer,53,M,3,Doctorate,Single,$120K +,Blue,36,3,1,0,30883,1694,29189,86%,1267,23,53%,6%
780198258,Existing Customer,46,M,4,College,Single,$120K +,Blue,36,5,2,1,7793,1705,6088,60%,1099,39,70%,22%
828298908,Existing Customer,54,M,4,Graduate,Married,$120K +,Blue,50,4,2,0,2872,2035,837,61%,1770,47,74%,71%
788946783,Existing Customer,50,M,2,Unknown,Single,$120K +,Blue,36,5,1,3,9697,0,9697,76%,1812,50,92%,0%
779759058,Existing Customer,52,M,0,Graduate,Single,$120K +,Blue,41,6,3,2,3386,1794,1592,67%,1736,40,111%,53%
715783758,Existing Customer,40,M,4,Graduate,Divorced,$120K +,Blue,30,5,3,3,25188,1295,23893,56%,1513,38,58%,5%
794498733,Existing Customer,40,M,2,Unknown,Single,$120K +,Blue,21,6,4,3,20056,1602,18454,47%,1687,46,53%,8%
823845783,Existing Customer,53,M,2,Unknown,Married,$120K +,Blue,49,6,2,3,3386,1984,1402,57%,1318,37,19%,59%
763895958,Attrited Customer,53,M,2,High School,Married,$120K +,Blue,46,4,3,1,7474,0,7474,86%,732,21,62%,0%
720718908,Existing Customer,46,M,3,Uneducated,Single,$120K +,Blue,36,5,1,3,26977,1961,25016,64%,1958,41,105%,7%
717028158,Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,44,3,2,3,12163,2082,10081,155%,2649,56,70%,17%
718050033,Existing Customer,54,M,2,College,Married,$120K +,Blue,43,3,2,3,5657,1719,3938,61%,2028,55,67%,30%
719885883,Existing Customer,53,M,3,College,Single,$120K +,Blue,36,6,2,0,34516,1901,32615,91%,1497,43,115%,6%
712523283,Existing Customer,55,M,2,Unknown,Married,$120K +,Blue,41,4,3,2,14938,0,14938,49%,1134,31,63%,0%
708983658,Attrited Customer,51,M,2,Uneducated,Single,$120K +,Blue,39,3,3,1,16868,0,16868,94%,940,25,47%,0%
715993608,Existing Customer,51,M,2,College,Single,$120K +,Blue,41,6,3,2,26714,2517,24197,76%,1686,50,72%,9%
715034358,Existing Customer,41,M,2,Graduate,Married,$120K +,Blue,32,5,2,3,14302,2097,12205,41%,1505,35,59%,15%
720998358,Existing Customer,52,M,0,High School,Married,$120K +,Silver,41,3,3,1,34516,1043,33473,56%,1489,38,36%,3%
817245183,Existing Customer,51,M,2,Unknown,Unknown,$120K +,Blue,33,6,2,2,19715,1014,18701,144%,1979,40,67%,5%
716580033,Existing Customer,53,M,3,High School,Married,$120K +,Blue,36,3,1,3,21178,1796,19382,118%,1872,59,111%,9%
720611058,Existing Customer,40,M,3,Graduate,Single,$120K +,Blue,27,4,2,3,17018,0,17018,69%,1550,47,62%,0%
717127083,Existing Customer,37,M,3,Graduate,Married,$120K +,Blue,25,3,3,0,15017,1733,13284,64%,2076,58,49%,12%
710789058,Existing Customer,55,M,1,Graduate,Single,$120K +,Blue,42,4,2,3,34516,1478,33038,97%,1308,41,41%,4%
708431433,Existing Customer,41,M,3,Graduate,Married,$120K +,Blue,31,3,3,2,11789,1420,10369,66%,1463,32,68%,12%
716996583,Existing Customer,50,M,3,High School,Divorced,$120K +,Blue,37,3,1,2,3073,1792,1281,110%,1734,35,119%,58%
771359958,Existing Customer,39,M,4,Unknown,Single,$120K +,Silver,26,6,2,2,34516,2517,31999,89%,1689,42,110%,7%
709979583,Existing Customer,54,M,3,Graduate,Married,$120K +,Blue,46,3,1,3,34516,854,33662,93%,1999,54,80%,3%
709380333,Existing Customer,57,M,1,Uneducated,Married,$120K +,Blue,36,6,2,3,24545,1735,22810,66%,1671,45,50%,7%
714661233,Existing Customer,39,M,1,Graduate,Single,$120K +,Blue,24,6,2,4,10074,2517,7557,77%,1729,52,93%,25%
708856983,Attrited Customer,36,M,3,Post-Graduate,Married,$120K +,Blue,27,2,1,2,13873,0,13873,23%,694,18,29%,0%
778508883,Existing Customer,44,M,5,Graduate,Married,$120K +,Blue,24,4,1,4,11876,1926,9950,51%,1367,33,74%,16%
788677533,Existing Customer,44,M,4,Unknown,Married,$120K +,Blue,31,4,3,4,34516,1197,33319,67%,1594,43,115%,4%
826723308,Existing Customer,58,M,3,College,Married,$120K +,Blue,54,5,1,4,3452,2088,1364,77%,1008,21,40%,61%
711688158,Existing Customer,47,M,5,Graduate,Single,$120K +,Blue,27,5,3,4,11760,2306,9454,62%,1498,49,96%,20%
715127208,Existing Customer,48,M,3,Doctorate,Divorced,$120K +,Blue,36,4,3,2,34516,2517,31999,70%,1699,48,85%,7%
789198708,Existing Customer,58,M,3,Graduate,Married,$120K +,Blue,47,3,1,2,27088,0,27088,58%,1135,24,85%,0%
788826408,Existing Customer,33,M,1,Uneducated,Married,$120K +,Blue,16,6,1,3,10705,1352,9353,117%,2434,58,81%,13%
715443708,Existing Customer,53,M,1,Uneducated,Married,$120K +,Blue,45,5,1,3,9343,1286,8057,71%,1385,31,72%,14%
778346283,Existing Customer,53,M,0,Graduate,Married,$120K +,Blue,33,4,3,3,21006,1905,19101,70%,1856,57,78%,9%
719450508,Existing Customer,53,M,2,High School,Married,$120K +,Blue,41,4,3,3,7272,2037,5235,80%,2333,56,70%,28%
767049258,Existing Customer,44,M,4,High School,Single,$120K +,Blue,37,5,3,3,8396,1672,6724,60%,1475,35,75%,20%
809951133,Attrited Customer,54,M,3,College,Single,$120K +,Blue,49,3,2,3,34516,0,34516,120%,2115,24,26%,0%
820622433,Existing Customer,39,M,1,High School,Married,$120K +,Blue,34,4,2,2,3250,1698,1552,77%,2006,58,57%,52%
767269908,Existing Customer,36,M,2,College,Married,$120K +,Blue,29,6,3,2,3158,0,3158,121%,2973,63,97%,0%
715241583,Existing Customer,34,M,3,High School,Married,$120K +,Blue,25,3,2,4,23959,2517,21442,93%,1870,45,67%,11%
715973583,Existing Customer,56,M,3,Uneducated,Married,$120K +,Blue,36,6,3,3,34516,1047,33469,61%,1378,30,43%,3%
779521533,Existing Customer,53,M,2,High School,Married,$120K +,Blue,36,5,3,3,3329,1092,2237,147%,1978,33,83%,33%
719338383,Existing Customer,34,M,2,High School,Married,$120K +,Blue,21,3,3,3,6259,1063,5196,67%,1836,50,52%,17%
711498258,Existing Customer,54,M,3,High School,Married,$120K +,Blue,42,6,3,2,20311,1655,18656,43%,1266,34,31%,8%
721217283,Existing Customer,27,M,0,Graduate,Single,$120K +,Blue,17,6,2,2,8713,1354,7359,56%,2094,36,33%,16%
710819733,Attrited Customer,56,M,3,Graduate,Married,$120K +,Blue,36,5,1,1,12211,0,12211,64%,903,29,53%,0%
718563483,Existing Customer,30,M,2,Unknown,Divorced,$120K +,Blue,14,3,2,3,1548,0,1548,83%,2611,64,46%,0%
718623783,Existing Customer,56,M,2,College,Married,$120K +,Blue,36,6,3,2,27157,1547,25610,49%,1535,38,27%,6%
790082508,Existing Customer,42,M,4,High School,Single,$120K +,Blue,35,5,2,2,34516,1658,32858,110%,2935,65,71%,5%
814593858,Existing Customer,58,M,3,High School,Single,$120K +,Blue,53,4,1,2,6103,1798,4305,71%,1468,34,62%,30%
715870758,Existing Customer,35,M,4,Graduate,Married,$120K +,Blue,30,4,3,4,34516,1018,33498,113%,2350,55,77%,3%
709493283,Existing Customer,42,M,2,Unknown,Single,$120K +,Blue,32,5,2,4,4111,1233,2878,48%,1289,36,50%,30%
712281183,Existing Customer,55,M,4,Graduate,Married,$120K +,Blue,36,4,2,2,24336,856,23480,46%,1425,33,65%,4%
720666333,Existing Customer,36,M,3,Unknown,Married,$120K +,Blue,24,6,3,2,24577,0,24577,75%,1897,39,39%,0%
708927108,Attrited Customer,53,M,2,Graduate,Married,$120K +,Blue,36,1,3,2,12778,507,12271,97%,1133,28,40%,4%
711258108,Existing Customer,54,M,1,College,Married,$120K +,Blue,44,4,3,2,2821,2415,406,44%,1419,36,80%,86%
712688433,Existing Customer,36,M,3,High School,Divorced,$120K +,Blue,36,3,2,3,3404,1568,1836,106%,2406,65,86%,46%
720812433,Existing Customer,54,M,2,College,Married,$120K +,Blue,46,6,1,2,28465,0,28465,70%,1693,37,106%,0%
789079758,Existing Customer,44,M,4,Doctorate,Unknown,$120K +,Blue,32,3,2,3,34516,1356,33160,117%,1531,48,66%,4%
780276258,Existing Customer,53,M,2,High School,Married,$120K +,Blue,39,3,2,3,13091,985,12106,32%,1452,37,28%,8%
718784358,Existing Customer,34,M,4,Uneducated,Single,$120K +,Blue,36,6,3,2,34516,2517,31999,98%,1969,46,130%,7%
779040408,Existing Customer,56,M,2,High School,Married,$120K +,Blue,37,3,1,2,12181,1702,10479,83%,1478,33,50%,14%
708828258,Existing Customer,55,M,2,College,Married,$120K +,Blue,37,5,2,3,32641,1551,31090,49%,1327,30,30%,5%
717837858,Existing Customer,47,M,5,College,Married,$120K +,Blue,34,3,1,2,17603,1063,16540,107%,2902,64,64%,6%
797643708,Existing Customer,47,M,1,High School,Married,$120K +,Blue,41,3,1,4,27858,1314,26544,68%,1772,53,56%,5%
719831958,Existing Customer,49,M,3,College,Single,$120K +,Blue,36,5,2,4,34516,0,34516,65%,1793,44,83%,0%
719049033,Existing Customer,53,M,3,High School,Married,$120K +,Blue,44,5,6,4,14057,1655,12402,68%,2073,60,33%,12%
713126733,Existing Customer,56,M,3,College,Married,$120K +,Blue,43,6,2,2,17539,2517,15022,74%,1220,30,77%,14%
711329658,Existing Customer,30,M,0,High School,Married,$120K +,Blue,13,3,1,4,9007,1965,7042,70%,1925,42,45%,22%
769751958,Existing Customer,55,M,3,Unknown,Married,$120K +,Blue,49,3,2,4,9926,2018,7908,62%,2235,57,36%,20%
713075283,Existing Customer,51,M,3,High School,Single,$120K +,Blue,36,5,1,4,20741,2504,18237,80%,1818,51,104%,12%
712789383,Existing Customer,52,M,1,Graduate,Married,$120K +,Blue,44,6,1,4,9274,2097,7177,78%,2048,59,64%,23%
713835258,Existing Customer,53,M,1,Unknown,Married,$120K +,Blue,48,3,2,3,3088,2083,1005,63%,1561,40,54%,68%
715859058,Existing Customer,54,M,3,Post-Graduate,Married,$120K +,Blue,42,6,3,4,3092,2165,927,68%,1369,37,54%,70%
716053083,Attrited Customer,33,M,2,Graduate,Married,$120K +,Blue,21,2,2,4,27992,0,27992,43%,837,18,100%,0%
739117233,Existing Customer,57,M,3,High School,Married,$120K +,Blue,50,3,3,2,3205,1530,1675,67%,2126,58,66%,48%
